user_id,device,location,traffic_source,visited,signed_up,added_to_cart,purchased,timestamp
user_0,mobile,Delhi,social_media,True,False,False,False,2025-05-21 03:01:00
user_1,tablet,Delhi,organic_search,True,True,True,True,2025-04-05 07:14:00
user_2,desktop,Mumbai,paid_ads,True,False,False,False,2025-03-18 23:06:00
user_3,desktop,Hyderabad,social_media,True,True,True,False,2025-05-26 23:57:00
user_4,mobile,Bangalore,paid_ads,True,False,False,False,2025-05-09 02:37:00
user_5,mobile,Pune,social_media,True,False,False,False,2025-04-24 01:01:00
user_6,mobile,Mumbai,referral,True,False,False,False,2025-03-12 06:14:00
user_7,desktop,Hyderabad,organic_search,True,True,False,False,2025-05-04 19:01:00
user_8,desktop,Kolkata,social_media,True,False,False,False,2025-05-11 06:45:00
user_9,desktop,Kolkata,organic_search,True,True,False,False,2025-05-23 22:34:00
user_10,mobile,Pune,paid_ads,True,True,False,False,2025-04-23 07:28:00
user_11,tablet,Chennai,organic_search,True,False,False,False,2025-05-15 08:51:00
user_12,desktop,Ahmedabad,organic_search,True,False,False,False,2025-03-01 05:44:00
user_13,mobile,Delhi,paid_ads,True,False,False,False,2025-04-24 10:17:00
user_14,mobile,Bangalore,paid_ads,True,True,True,True,2025-03-20 06:48:00
user_15,mobile,Mumbai,direct,True,False,False,False,2025-04-13 03:05:00
user_16,mobile,Mumbai,social_media,True,True,False,False,2025-04-18 03:22:00
user_17,mobile,Delhi,referral,True,True,False,False,2025-04-14 19:16:00
user_18,mobile,Mumbai,social_media,True,False,False,False,2025-03-06 23:29:00
user_19,mobile,Delhi,organic_search,True,True,False,False,2025-05-08 03:59:00
user_20,desktop,Mumbai,paid_ads,True,False,False,False,2025-04-18 02:35:00
user_21,mobile,Mumbai,paid_ads,True,True,False,False,2025-04-07 20:39:00
user_22,mobile,Ahmedabad,paid_ads,True,True,False,False,2025-04-16 18:12:00
user_23,mobile,Mumbai,social_media,True,False,False,False,2025-05-30 02:02:00
user_24,mobile,Chennai,paid_ads,True,False,False,False,2025-05-24 07:49:00
user_25,desktop,Mumbai,paid_ads,True,True,False,False,2025-04-07 02:54:00
user_26,mobile,Ahmedabad,organic_search,True,True,True,True,2025-03-30 03:24:00
user_27,mobile,Pune,organic_search,True,False,False,False,2025-04-05 14:40:00
user_28,desktop,Chennai,organic_search,True,True,False,False,2025-04-16 05:23:00
user_29,mobile,Chennai,organic_search,True,True,False,False,2025-04-15 06:42:00
user_30,desktop,Mumbai,email,True,False,False,False,2025-04-04 22:59:00
user_31,mobile,Indore,organic_search,True,True,False,False,2025-05-27 20:04:00
user_32,mobile,Pune,social_media,True,False,False,False,2025-05-17 20:10:00
user_33,tablet,Pune,paid_ads,True,False,False,False,2025-05-08 23:15:00
user_34,tablet,Chennai,organic_search,True,False,False,False,2025-03-21 14:24:00
user_35,desktop,Delhi,email,True,True,False,False,2025-04-04 20:44:00
user_36,mobile,Pune,social_media,True,False,False,False,2025-05-11 07:43:00
user_37,mobile,Delhi,organic_search,True,True,False,False,2025-04-11 01:14:00
